sentence,label
it could become a historically significant work as well as a masterfully made one,1
"combines improbable melodrama ( gored bullfighters , comatose ballerinas ) with subtly kinky bedside vigils and sensational denouements , and yet at the end",0
stages his gags,0
the resourceful amnesiac,0
is more depressing than entertaining,0
of this tacky nonsense,0
to the haunted house,0
you swinging from the trees hooting it 's praises,1
impressive fake documentary,1
an astounding performance,1
imitative,0
mostly martha will leave you with a smile on your face and a grumble in your stomach .,1
vereté has a whip-smart sense of narrative bluffs .,1
all the heart of a porno flick ( but none of the sheer lust ),0
director to watch,1
highly engaging .,1
"'s a persistent theatrical sentiment and a woozy quality to the manner of the storytelling , which undercuts the devastatingly telling impact of utter loss personified in the film 's simple title",0
"have finally aged past his prime ... and ,",0
"belongs to daniel day-lewis as much as it belongs to martin scorsese ; it 's a memorable performance in a big , brassy , disturbing , unusual and highly successful film .",1
best brush,1
sophisticated and,1
of what was created for the non-fan to figure out what makes wilco a big deal,1
a fully developed story,1
it 's a fantastic movie,1
did n't convince me that calvin jr. 's barbershop represents some sort of beacon of hope in the middle of chicago 's south side .,0
"sure to give you a lot of laughs in this simple , sweet and romantic comedy",1
"'' is the phenomenal , water-born cinematography by david hennings",1
with all the blanket statements and dime-store ruminations on vanity,0
grating and tedious,0
", funny and touching",1
a sharp satire,1
yet another arnold vehicle that fails to make adequate use of his particular talents .,0
"a bad mannered , ugly and destructive little ****",0
that in a good way,1
so overwrought you 'd swear he just stepped out of a buñuel retrospective,0
only to keep letting go at all the wrong moments,0
extremely bad .,0
lifelong concern,1
"` linklater fans , or pretentious types who want to appear avant-garde will suck up to this project ... '",0
"an undeniably moving film to experience , and ultimately that 's what makes it worth a recommendation .",1
in ( the characters ' ) misery,0
"a strong and confident work which works so well for the first 89 minutes , but ends so horrendously confusing",0
"quite frankly , i ca n't see why any actor of talent would ever work in a mcculloch production again if they looked at how this movie turned out .",0
something more beautiful than either of those films,1
"will take you places you have n't been , and also places you have",1
"'s a tribute to the actress , and to her inventive director",1
lives up,1
"is not show-stoppingly hilarious , but scathingly witty",1
something really good,1
is a sobering meditation on why we take pictures .,1
the greatest date movies in years,1
the edge of sanity,0
may well,1
"nothing special and , until the final act , nothing",0
cultural and personal self-discovery and a picaresque view,1
amusing juxtapositions,1
"'s insecure in lovely and amazing ,",1
"succeeds primarily with her typical blend of unsettling atmospherics , delivering a series of abrasive , stylized sequences that burn themselves upon the viewer 's memory .",1
the culture clash comedies,1
a been-there,0
through torture,0
"that one in clockstoppers , a sci-fi thriller as lazy as it is interminable",0
"empty , fetishistic violence",0
its cutesy reliance on movie-specific cliches,0
instantly forgettable snow-and-stuntwork extravaganza,0
summons more spirit and bite than your average formulaic romantic quadrangle,1
"and there 's an element of heartbreak to watching it now , with older and wiser eyes , because we know what will happen after greene 's story ends .",1
the men and machines behind the curtains of our planet,1
that ( nelson 's ) achievement does n't match his ambition,0
was a deserved co-winner of the audience award for documentaries at the sundance film festival,1
would make an excellent companion piece to the similarly themed ` the french lieutenant 's woman . ',1
sluggish pacing,0
something provocative,1
fine acting,1
admire,1
sets out to entertain and,1
wild,1
the peak of all things insipid,0
got something,1
", then go see this delightful comedy .",1
"a low-key , organic way",1
tv skit-com material fervently deposited on the big screen .,0
jazzy new revisionist theories,1
for the paper-thin characterizations and facile situations,0
is so far-fetched it would be impossible to believe if it were n't true,0
its epic scope,1
an impressive and highly entertaining celebration,1
as beautifully shaped,1
suffers because it does n't have enough vices to merit its 103-minute length,0
an effective portrait of a life in stasis -- of the power of inertia to arrest development in a dead-end existence .,1
having sucked dry the undead action flick formula,0
"it puts washington , as honest working man john q. archibald , on a pedestal , then keeps lifting the pedestal higher .",1
"you can watch , giggle and get an adrenaline boost without feeling like you 've completely lowered your entertainment standards .",1
an impressive roster of stars and direction,1
cloaked in the euphemism ` urban drama,0
pretty good little movie,1
the charming result is festival in cannes .,1
fulfill its own ambitious goals,1
things fall apart,0
jokester highway patrolmen,1
another best of the year selection .,1
a boatload of screenwriting cliches that sink it faster than a leaky freighter,0
ultimately purposeless,0
"the idea of exploiting molestation for laughs is funny , not actually exploiting it yourself",0
two fatal ailments --,0
"in a big corner office in hell , satan is throwing up his hands in surrender , is firing his r&d people , and has decided he will just screen the master of disguise 24/7 .",0
a breath of fresh air now and then,1
offers escapism,1
", alone , should scare any sane person away .",0
"( a remake ) do anything as stomach-turning as the way adam sandler 's new movie rapes , pillages and incinerates frank capra 's classic",0
schneidermeister ... makin ' a fool of himself,0
turns in a collectively stellar performance,1
"( a ) thoughtful , visually graceful work .",1
"for a film about explosions and death and spies , `` ballistic : ecks vs. sever '' seems as safe as a children 's film .",0
it 's like going to a house party and watching the host defend himself against a frothing ex-girlfriend .,0
a negligible work,0
"( taymor ) utilizes the idea of making kahlo 's art a living , breathing part of the movie , often catapulting the artist into her own work .",1
melodrama and tiresome love triangles,0
never quite gel,0
a weak script,0
that does the nearly impossible,1
this waste,0
this in-depth study of important developments of the computer industry,1
happens that tells you there is no sense,0
lame screenplay,0
"proves once again he has n't lost his touch , bringing off a superb performance in an admittedly middling film .",1
actually has something interesting to say,1
it is formula filmmaking,0
flaccid odd-couple sniping,0
it 's insanely violent and very graphic,1
what 's missing from this material,0
", it ultimately delivers",1
and civic action laudable,1
energized,1
can only love the players it brings to the fore for the gifted but no-nonsense human beings they are and for the still-inestimable contribution they have made to our shared history,1
france 's most inventive directors,1
"this fascinating experiment plays as more of a poetic than a strict reality , creating an intriguing species of artifice that gives the lady and the duke something of a theatrical air .",1
grows on you --,1
"confuses its message with an ultimate desire to please , and contorting itself into an idea of expectation is the last thing any of these three actresses , nor their characters , deserve .",0
george 's haplessness,0
fuzziness,0
of paint-by-number romantic comedies,1
screen with considerable appeal,1
morvern rocks .,1
thoughtful war films,1
"is a likable story , told with competence .",1
"is nonjudgmental , and makes clear that a prostitute can be as lonely and needy as any of the clients",1
"so marvelously compelling is present brown as a catalyst for the struggle of black manhood in restrictive and chaotic america ... sketchy but nevertheless gripping portrait of jim brown , a celebrated wonder in the spotlight",1
"the kind of movie that comes along only occasionally , one so unconventional , gutsy and perfectly",1
the movie is rather choppy .,0
grand locations,1
"it 's really little more than a particularly slanted , gay s/m fantasy , enervating and deadeningly drawn-out .",0
"heartbreaking subject matter , but one whose lessons are well worth revisiting as many times as possible",1
"the production design , score and choreography are simply intoxicating .",1
"jostling against farce , thoughtful dialogue elbowed aside by one-liners , and a visual style that incorporates rotoscope animation for no apparent reason except , maybe ,",0
does n't work .,0
"a cast that seems to include every top-notch british actor who did not appear in gosford park ( as well as one , ms. mirren , who did )",1
"handles the nuclear crisis sequences evenly but milks drama when she should be building suspense , and drags out too many scenes toward the end that should move quickly .",0
the stunt work is top-notch,1
the fun wears thin -- then out -- when there 's nothing else happening,0
of its gaudy hawaiian shirt,0
"all leather pants & augmented boobs , hawn",0
", unnecessary",0
it 's hard to say who might enjoy this,0
"one of the better video-game-based flicks ,",1
why anyone in his right mind would even think to make the attraction a movie,0
the ingenuity,1
toback 's deranged immediacy makes it seem fresh again .,1
an undeniable energy,1
his own idiosyncratic strain,0
ugly and destructive little ****,0
's definite room for improvement,0
"i 've seen in a while , a meander through worn-out material",0
coming back from stock character camp,0
with its own solemn insights,1
funnybone,1
his machismo,1
in a way that verges on the amateurish,0
"... is inspiring , ironic , and revelatory of just how ridiculous and money-oriented the record industry really is .",1
"are both superb ,",1
"all of dean 's mannerisms and self-indulgence ,",0
avoids the cartoonish clichés and sneering humor of the genre as it provides a fresh view of an old type,1
ended so damned soon,0
"jonah 's despair -- in all its agonizing , catch-22 glory --",1
a touch too arthouse 101 in its poetic symbolism,0
"a sexy , peculiar and always entertaining costume drama",1
hold onto what 's left of his passe ' chopsocky glory,0
"a tired , predictable",0
there is truth here,1
"a rock-solid gangster movie with a fair amount of suspense , intriguing characters and bizarre bank robberies , plus a heavy dose of father-and-son dynamics .",1
scarcely worth a mention apart from reporting on the number of tumbleweeds blowing through the empty theaters graced with its company .,0
jonathan parker 's bartleby should have been the be-all-end-all of the modern-office anomie films .,1
a fragment of an underdone potato,0
the best,1
"instead , he shows them the respect they are due .",1
this low-rent -- and even lower-wit -- rip-off of the farrelly brothers ' oeuvre gets way too mushy -- and in a relatively short amount of time .,0
terrifying angst,0
frequent laughter,1
's most offensive,0
what i liked about it,1
"is far from disappointing , offering an original",1
shift,1
as we,1
"about changing times , clashing cultures and the pleasures of a well-made pizza",1
this romantic/comedy asks the question how much souvlaki can you take before indigestion sets in .,0
prove too convoluted,0
"is a subzero version of monsters , inc. , without the latter 's imagination , visual charm or texture",0
a sweet and modest and ultimately winning story,1
"be when he is not more lucratively engaged in the shameless self-caricature of ` analyze this ' ( 1999 ) and ` analyze that , ' promised ( or threatened ) for later this year",0
"slightly naughty , just-above-average off",1
of cliches,0
own ambitious goals,1
the mark of a respectable summer blockbuster is one of two things : unadulterated thrills or genuine laughs .,1
a copenhagen neighborhood coping with the befuddling complications life,1
largely flat and uncreative moments,0
"pat storylines , precious circumstances and beautiful stars",1
"the color sense of stuart little 2 is its most immediate and most obvious pleasure , but it would count for very little if the movie were n't as beautifully shaped and as delicately calibrated in tone as it is .",1
"'s a powerful though flawed movie , guaranteed to put a lump in your throat while reaffirming washington as possibly the best actor working in movies today .",1
the movie as a whole is cheap junk and an insult to their death-defying efforts,0
great actors hamming it up,1
"is a smart , romantic drama that dares to depict the french revolution from the aristocrats ' perspective .",1
peak,1
its unflinching gaze a measure of faith in the future,1
terrorists are more evil than ever !,0
so sloppy,0
provides the forgettable pleasures of a saturday matinee,0
most repellent,0
painful ride,0
it may not be a great piece of filmmaking,0
if only it were that grand a failure,0
"god help us , but capra and cooper are rolling over in their graves .",0
", it serves as a workable primer for the region 's recent history , and would make a terrific 10th-grade learning tool .",1
"enters a realm where few non-porn films venture , and comes across as darkly funny , energetic , and surprisingly gentle .",1
his surprising discovery,1
by laurice guillen,1
funny ( sometimes hilarious ),1
the densest distillation of roberts ' movies ever made .,0
beautiful images and solemn words,1
"to the filmmakers , ivan is a prince of a fellow , but he comes across as shallow and glib though not mean-spirited , and there 's no indication that he 's been responsible for putting together any movies of particular value or merit .",0
have done in half an hour,0
unflinchingly bleak and desperate,0
'll probably be the best and most mature comedy of the 2002 summer season speaks more of the season than the picture,1
never settles into the light-footed enchantment the material needs,0
crawl up your own ***,0
largely unfulfilling,0
makes one thing abundantly clear .,1
a psychological mystery,1
which they have been patiently waiting for,1
a breathtaking adventure,1
", this is a film that takes a stand in favor of tradition and warmth .",1
"a warm , fuzzy feeling",1
sprinkled with a few remarks so geared toward engendering audience sympathy that you might think he was running for office -- or trying to win over a probation officer,0
fincher takes no apparent joy in making movies,0
brilliant and brutal,1
"there are n't many conclusive answers in the film , but there is an interesting story of pointed personalities , courage , tragedy and the little guys vs. the big guys .",1
unadorned,0
drowning 's too good for this sucker .,0
the entire film is one big excuse to play one lewd scene after another .,0
is a fine-looking film with a bouncy score and a clutch of lively songs for deft punctuation,1
crap on a leash -- far too polite to scale the lunatic heights of joe dante 's similarly styled gremlins,0
visually engrossing,1
leftovers that are n't so substantial or fresh,0
artless sytle,0
the script 's refusal,0
entertaining and informative documentary,1
it gives devastating testimony to both people 's capacity for evil and their heroic capacity for good .,1
"a movie that will stimulate hours of post viewing discussion , if only to be reminded of who did what to whom and why",1
a good way,1
unhappy,0
logic and misuse,0
material this rich,1
seem downright hitchcockian,1
that the movie does not do them justice,0
's not that funny --,0
"oh , look at that clever angle !",1
"a film about the irksome , tiresome nature of complacency",0
"does n't really know or care about the characters , and",0
that by its end offers a ray of hope to the refugees able to look ahead and resist living in a past,1
feels as if the movie is more interested in entertaining itself than in amusing us,0
charming in comedies like american pie and dead-on in election,1
which somehow snagged an oscar nomination,0
this is a frustrating patchwork : an uneasy marriage of louis begley 's source novel ( about schmidt ) and an old payne screenplay .,0
realizes a fullness that does not negate the subject,1
see it for his performance if nothing else .,1
", and intelligent",1
and verbal clichés,0
"a tone of rueful compassion ... reverberates throughout this film , whose meaning and impact is sadly heightened by current world events .",1
turned out to be a one-trick pony,0
sad and rote exercise,0
a number of other assets to commend it to movie audiences both innocent and jaded,1
"is just as good , if not better than much of what 's on saturday morning tv especially the pseudo-educational stuff we all ca n't stand",1
unfolds with all the mounting tension of an expert thriller,1
eddie murphy nor robert de niro has ever made,0
ambitious films,1
as obvious as telling a country skunk,0
has stepped into the mainstream of filmmaking with an assurance worthy of international acclaim and,1
to a picture-perfect beach,1
betting her third feature will be something to behold,1
few points,0
"has a way of seeping into your consciousness , with lingering questions about what the film is really getting at",1
a dramatic slap,0
liotta is put in an impossible spot because his character 's deceptions ultimately undo him and the believability of the entire scenario .,0
be disappointed in the relative modesty of a movie that sports a ` topless tutorial service,0
"its courage , ideas",1
"it 's a hellish , numbing experience to watch , and it does n't offer any insights that have n't been thoroughly debated in the media already , back in the dahmer heyday of the mid - '90s .",0
"like kubrick before him , may not touch the planet 's skin , but understands the workings of its spirit .",1
"is the score , as in the songs translate well to film",1
a certain degree of wit and dignity,1
crap,0
insightful discourse,1
"; the problem is he has no character , loveable or otherwise .",0
decrepit,0
perfect movie,1
style and humor,1
"follow the stale , standard , connect-the-dots storyline which has become commonplace in movies that explore the seamy underbelly of the criminal world",0
during the long build-up of expository material,0
getting there is not even half the interest .,0
humbuggery,0
clarity and audacity,1
shoplifts shamelessly from farewell-to-innocence movies like the wanderers and a bronx tale,0
"fine , nuanced lead performances",1
", this halloween is a gory slash-fest .",1
foster and whitaker are especially fine .,1
an overexposed waste,0
"by the time the plot grinds itself out in increasingly incoherent fashion , you might be wishing for a watch that makes time go faster rather than the other way around .",0
interesting '',1
strange and beautiful film,1
other than fling gags at it,0
an ebullient affection,1
'll be rewarded with some fine acting,1
to provoke them,1
providing some good old fashioned spooks,1
is also imbued with strong themes of familial ties and spirituality that are powerful and moving without stooping to base melodrama,1
"'s not a bad premise , just a bad movie .",0
inspirational,1
"a predictable , manipulative stinker .",0
unfocused and,0
"the complex , politically charged tapestry of contemporary chinese life this exciting new filmmaker has brought to the screen is like nothing we westerners have seen before .",1
's a frankenstein-monster of a film that does n't know what it wants to be .,0
which makes its message resonate .,1
"all the more disquieting for its relatively gore-free allusions to the serial murders , but it falls down in its attempts to humanize its subject .",0
's best,1
provides a window into a subculture hell-bent on expressing itself in every way imaginable .,1
in-your-face family drama and black comedy,1
will likely set the cause of woman warriors back decades .,0
this loser,0
"a heartbreakingly thoughtful minor classic , the work of a genuine and singular artist",1
"manages to transcend the sex , drugs and show-tunes plot into something far richer .",1
"directing with a sure and measured hand , ( haneke ) steers clear of the sensational and offers instead an unflinching and objective look at a decidedly perverse pathology .",1
he runs around and acts like a doofus,0
